"Organização";"Nome";"Descrição";"Tags";"Quantidade Recursos";"Quantidade Reusos";"Quantidade Downloads"
"ANS - Agência Nacional de Saúde Suplementar";"Dados do Ressarcimento ao SUS por Operadora de Planos de Saúde";"Dados sobre pagamento, recursividade e instâncias de julgamento, por operadora de planos privados de saúde (operadoras com beneficiários identificados - números e valores).

Formatação dos arquivos de dados:
Arquivo de extensão CSV, separador ponto e vírgula, codificação UTF-8, vírgula como delimitador de decimais, data no formato ISO 8601 ( AAA-MM-DD). 
Orientação para abertura dos arquivos: https://dados.gov.br/pagina/faq-dataset#dq4
";"Ressarcimento ao SUS,beneficiários,operadoras de planos de saúde";"2";"0";"2154"
"ANS - Agência Nacional de Saúde Suplementar";"Demandas dos consumidores NIP";"Tratam-se de dados abertos de reclamações dos consumidores que entraram no fluxo da Notificação de Intermediação Preliminar (NIP) da Agência Nacional de Saúde Suplementar. Os dados são a partir de  01/01/2011.";"ANS,NIP,demandas de consumidores,reclamações de beneficiários";"2";"0";"2443"
"ANS - Agência Nacional de Saúde Suplementar";"Demandas dos consumidores – Reclamações de Beneficiários";"Trata-se de conjunto de dados gerais das demandas de beneficiários de planos de saúde, em consonância com a normatização e regulação da Saúde Suplementar pela Agência Nacional de Saúde Suplementar (ANS).";"ANS,consumidores,demandas de consumidores,operadoras de plano de saúde,plano de saúde,reclamações de beneficiários";"2";"0";"1011"
"ANS - Agência Nacional de Saúde Suplementar";"Demonstrações Contábeis";"Dados Contábeis encaminhados à Agência Nacional de Saúde Suplementar (ANS) trimestralmente pelas operadoras através do Documento de Informações Periódicas das Operadoras de Planos de Assistência à Saúde – DIOPS/ANS.";"DIOPS,Demonstrações Contábeis,Plano de Contas";"2";"0";"6136"
"ANS - Agência Nacional de Saúde Suplementar";"Demonstrações Contábeis - Quadros Auxiliares sobre Corresponsabilidade Cedida e Corresponsabilidade Assumida em 2018";"Dados Contábeis encaminhados em quadro auxiliar das demonstrações contábeis do quarto trimestre de 2019 através do Documento de Informações Periódicas das Operadoras de Planos de Assistência à Saúde – DIOPS/ANS referente a detalhamento dos saldos de corresponsabilidade cedida e assumida em 2018. ";"Demonstrações Contábeis,VDA,quadros auxiliares,sinistralidade";"2";"0";"522"
"ANS - Agência Nacional de Saúde Suplementar";"Descontinuado - Agenda de Autoridades da ANS";"Conjunto contendo dados para dar cumprimento à Lei de Conflito de Interesses e à Resolução CEP nº 11, de 11 de dezembro de 2017, no que se refere ao dever legal de divulgação diária na internet das agendas de compromissos públicos das altas autoridades na Agência Nacional de Saúde Suplementar - ANS (cargos acima de DAS-5).

A atualização do conjunto “Agenda de autoridades da ANS” foi descontinuada pois o histórico da agenda de autoridades passou  a ser disponibilizado pelo e-Agendas nos termos do Decreto nº 10.889, de 9 de dezembro de 2021, e estão disponíveis em: https://dados.gov.br/dados/conjuntos-dados/agenda-publica-de-autoridades-do-poder-executivo-federal.";"ANS,Agenda de autoridades";"2";"0";"281"
"ANS - Agência Nacional de Saúde Suplementar";"Faixas de preço para fins de portabilidade de carências e migração";"Faixas de preço para a compatibilização de planos no Guia ANS de Planos de Saúde para a realização da portabilidade de carências e migração calculadas por tipo de contratação e faixa etária, de acordo com os valores comerciais informados nas Notas Técnicas de Registro de Produto-NTRP de todos os planos ativos.";"ANS,NTRP,guia de planos,plano de saúde,preços";"2";"0";"380"
"ANS - Agência Nacional de Saúde Suplementar";"Histórico de Planos de Saúde";"Dados do histórico de registro ou cadastro e das subsequentes alterações de situação de planos de saúde (ativações, suspensões, cancelamentos e transferências), em consonância com a normatização e regulação do setor de Saúde Suplementar pela ANS.";"ANS,histórico,operadora,plano de saúde";"2";"0";"1338"
"ANS - Agência Nacional de Saúde Suplementar";"Histórico do IDSS";"Operadoras de planos de saúde avaliadas pelo Programa de Qualificação de Operadoras – PQO, conforme RN nº 505/2022. O PQO avalia, anualmente, o desempenho das operadoras, por meio de indicadores, distribuídos em quatro dimensões: Qualidade em Saúde – IDQS; Garantia de Acesso – IDGA; Sustentabilidade do Mercado – IDSM; e Gestão da Regulação – IDGR. O resultado das quatro dimensões gera o Índice de Desempenho da Saúde Suplementar (IDSS), um índice que varia de zero a um (0 a 1), sendo 1 o melhor desempenho.
Para mais informações sobre o PQO consulte o portal da ANS em: Planos e Operadoras / Informações e Avaliações de Operadoras / Programa de Qualificação de Operadoras.
Link: https://www.gov.br/ans/pt-br/assuntos/informacoes-e-avaliacoes-de-operadoras/qualificacao-ans

As fichas técnicas dos indicadores estão disponíveis na página do PQO, por ano-base, em: 
Planos e Operadoras / Informações e Avaliações de Operadoras / Programa de Qualificação de Operadoras / Conheça mais dados do Programa de Qualificação de Operadoras
Link: https://www.gov.br/ans/pt-br/acesso-a-informacao/perfil-do-setor/dados-e-indicadores-do-setor/dados-do-programa-de-qualificacao-de-operadoras";"ANS,Histórico IDSS,IDSS,PQO";"2";"0";"1567"
"ANS - Agência Nacional de Saúde Suplementar";"Informações consolidadas de Beneficiários";"Informações consolidadas de beneficiários por competência.

Observação: as operadoras podem enviar dados que afetam informações das competências passadas. A cada divulgação atualizamos os dados dos últimos 5 (cinco) anos. Portanto, os dados atualizados de competências já publicadas podem estar diferentes do divulgado anteriormente.";"ANS,SIB,beneficiário,operadora,plano de saúde";"2";"0";"7852"
"ANS - Agência Nacional de Saúde Suplementar";"Operadoras Acreditadas";"Lista das operadoras de planos de saúde que, voluntariamente, passaram por processo de avaliação da adequação e eficiência dos serviços disponibilizados, as quais foram acreditadas nos Níveis I, II ou III, conforme critérios do Programa de Acreditação de Operadoras, definidos pela Resolução Normativa - RN nº 277/20, pela Resolução Normativa - RN nº 452/2020 ou pela Resolução Normativa - RN nº 507/2022.";"ANS,acreditação,operadora";"2";"0";"597"
"ANS - Agência Nacional de Saúde Suplementar";"Operadoras de planos de saúde Ativas";"Trata-se de conjunto de dados com relação de operadoras com registro ativo na ANS (autorizadas a vender planos de saúde no Brasil), elaborada a partir de informações fornecidas pelas próprias empresas.";"ANS,operadoras,registro";"5";"0";"21496"
"ANS - Agência Nacional de Saúde Suplementar";"Operadoras de planos de saúde Canceladas";"Trata-se de conjunto de dados com a relação das operadoras de planos de saúde com registro cancelado na Agência Nacional de Saúde Suplementar (ANS), elaborada a partir de informações fornecidas pelas próprias empresas.";"ANS,operadoras,planos de saúde,registro";"5";"0";"1890"
"ANS - Agência Nacional de Saúde Suplementar";"Operadoras e prestadores não-hospitalares";"Relação dos prestadores de serviços assistenciais cadastrados por operadora junto à ANS, exceto prestadores de serviços de assistência hospitalar. Inclui informações cadastrais dos prestadores (e.g. nome, CNPJ, CNES, município de localização), assim como informações sobre o tipo de contrato estabelecido entre a operadora e o prestador (e.g. rede própria / rede contratualizada, disponibilidade total / parcial etc.), a data de início e, se for o caso, a data final do contrato entre o prestador e a operadora.";"ANS,contratos,operadoras,planos de saúde,prestadores de serviços";"2";"0";"2337"
"ANS - Agência Nacional de Saúde Suplementar";"PEONA SUS";"O conjunto é formado por dois dados. O primeiro é a porcentagem a ser utilizada para apuração da PEONA SUS pelas operadoras que não tiverem metodologia atuarial própria para cálculo da provisão. Conforme estabelecido no anexo VIII da RN 574, de 2023, essa porcentagem é o menor valor entre o Fator Individual de PEONA SUS e o Fator Limite. O segundo é o valor total das notificações de ressarcimento ao SUS nos últimos 24 meses cujos prazos de impugnação terminaram e que não foram impugnadas pela operadora, as indeferidas pela ANS em primeira instância e não recorridas, os não providos em segunda instância (em outras palavras, os indeferidos em segunda instância e ainda não cobrados) e os cobrados com Guia de Recolhimento da União (GRU).";"ANS,PEONA SUS,Ressarcimento ao SUS,operadoras";"2";"0";"14277"
